check_id,check_name,expected,observed,status,severity,notes
IC001,allowed outputs only,"validator script, release README, reports, checks, test outputs","no manuscript/data/result/figure files modified",PASS,INFO,"Scope preserved."
IC002,validator script created,"src/validate_sparc_bootstrap.py exists","created and syntax checked",PASS,INFO,"No production execution."
IC003,CLI arguments implemented,"all requested arguments","mode, roots, output-dir, json, strict, dry-run flag implemented",PASS,INFO,"Explicit roots preferred."
IC004,check CSV schema,"task-required columns","implemented",PASS,INFO,"Written in validation outputs."
IC005,file inventory schema,"task-required columns","implemented",PASS,INFO,"Written in validation outputs."
IC006,parameter-extraction mode,"table1 and optional fallback checks","positive local test exit 0",PASS,INFO,"Extraction was not run."
IC007,test-mode mode,"project/source/test rotmod checks","positive local test exit 0",PASS,INFO,"Production was not run."
IC008,full-production mode,"full branch coverage preflight","positive local test exit 0",PASS,INFO,"Production was not run."
IC009,figure-reproduction mode,"compact inputs and final figures checked","positive local test exit 0",PASS,INFO,"Figures were not regenerated."
IC010,manuscript-reproduction mode,"main sections bibliography figures checked","positive local test exit 0",PASS,INFO,"Manuscript was not modified."
IC011,negative missing table test,"fail closed","exit 1 with SPARC001_TABLE1_MISSING",PASS,INFO,"Temporary missing-path input only."
IC012,negative missing source test,"fail closed","exit 1 with source/vendor/rotmod errors",PASS,INFO,"Temporary missing-path input only."
IC013,public validator docs,"release candidate docs README created without private paths","created",PASS,INFO,"Paper-root docs directory absent, so root docs were not created."
IC014,raw SPARC redistribution,"no raw data copied or redistributed","avoided",PASS,INFO,"Validator checks local availability only."
IC015,private paths in public docs,"no private local paths","public README uses placeholders",PASS,INFO,"Runtime validation outputs may include supplied local paths."
IC016,optional one-galaxy dry-run,"run only if safely supported","implemented as SKIP if requested",WARN,WARNING,"No safe standalone reconstruction dry-run interface is implemented."
IC017,strict LaTeX compile,"available only with --strict and TeX tooling","implemented but not exercised in required positive tests",WARN,WARNING,"Normal source checks do not leave build artifacts."
IC018,generated bytecode cache,"no persistent pycache output","generated cache removed",PASS,INFO,"Only allowed outputs remain."
