warning_id,tier,galaxy,warning_type,message,severity,action_required
W0001,random_phase_surrogate_residual,D631-7,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0002,random_phase_surrogate_radial_template,D631-7,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0003,random_phase_surrogate_residual,DDO161,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0004,random_phase_surrogate_radial_template,DDO161,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0005,random_phase_surrogate_residual,ESO563-G021,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0006,random_phase_surrogate_radial_template,ESO563-G021,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0007,random_phase_surrogate_residual,F563-1,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0008,random_phase_surrogate_radial_template,F563-1,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0009,random_phase_surrogate_residual,F568-3,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0010,random_phase_surrogate_radial_template,F568-3,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0011,random_phase_surrogate_residual,F583-1,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0012,random_phase_surrogate_radial_template,F583-1,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0013,random_phase_surrogate_residual,IC2574,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0014,random_phase_surrogate_radial_template,IC2574,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
W0015,random_phase_surrogate_residual,IC4202,DEGENERATE_PHASE_BLIND_STATISTIC,Spectral concentration unchanged across amplitude-preserving surrogates,INFO,Retain by-construction caveat during QC
